,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD,PlayerID
222,16,92,108,993,10.8,8,84,9,62.1,2,1,944,42,Austin Ekeler30
223,12,55,76,652,11.9,5,30,8,54.3,1,1,174,36,Hunter Henry86
224,12,42,55,296,7.0,1,25,2,24.7,1,1,331,11,Melvin Gordon25
225,15,9,13,78,8.7,1,15,0,5.2,0,0,43,4,Virgil Green88
226,13,6,17,56,9.3,0,15,0,4.3,0,0,28,4,Andre Patton16
227,10,2,5,43,21.5,0,32,1,4.3,0,0,7,2,Jason Moore89
228,7,3,3,38,12.7,0,19,0,5.4,0,0,2,1,Geremy Davis11
229,16,3,5,32,10.7,0,21,1,2.0,0,0,28,1,Derek Watt34
230,5,6,16,30,5.0,0,13,0,6.0,0,0,16,3,Travis Benjamin17
231,7,9,11,22,2.4,0,9,0,3.1,0,0,39,0,Justin Jackson22
232,16,79,119,1189,15.1,8,53,17,74.3,0,0,245,54,Amari Cooper19
233,14,66,113,1107,16.8,6,62,18,79.1,0,0,343,50,Michael Gallup13
234,15,55,83,828,15.1,3,59,15,55.2,2,1,343,41,Randall Cobb18
235,16,63,83,529,8.4,4,33,2,33.1,1,1,171,27,Jason Witten82
236,16,54,71,420,7.8,2,27,3,26.3,0,0,402,21,Ezekiel Elliott21
237,16,31,41,365,11.8,3,42,8,22.8,1,0,160,17,Blake Jarwin89
238,4,5,9,113,22.6,1,51,2,28.3,0,0,31,4,Devin Smith15
239,15,15,20,107,7.1,1,21,1,7.1,0,0,139,4,Tony Pollard20
240,6,5,8,46,9.2,0,14,0,7.7,0,0,13,2,Cedrick Wilson11
241,12,1,1,15,15.0,1,15,0,1.3,0,0,0,1,Ventell Bryant83
242,16,1,2,6,6.0,0,6,0,0.4,0,0,1,0,Dalton Schultz86
243,14,48,84,740,15.4,8,55,12,52.9,0,0,198,32,Darius Slayton86
244,11,49,85,676,13.8,6,64,10,61.5,1,1,289,30,Golden Tate15
245,10,57,83,576,10.1,3,36,8,57.6,0,0,180,29,Sterling Shepard87
246,8,44,68,467,10.6,3,75,4,58.4,0,0,254,23,Evan Engram88
247,13,52,73,438,8.4,2,65,6,33.7,1,0,441,14,Saquon Barkley26
248,15,24,42,300,12.5,2,43,4,20.0,0,0,80,19,Cody Latimer12
249,9,31,42,268,8.6,3,32,3,29.8,2,0,89,12,Kaden Smith82
250,10,11,15,102,9.3,1,21,3,10.2,0,0,109,4,Wayne Gallman22
251,16,3,5,28,9.3,0,11,0,1.8,0,0,3,2,Cody Core17
252,5,2,3,22,11.0,0,11,0,4.4,0,0,14,2,Da'Mari Scott18
253,16,2,4,9,4.5,0,9,0,0.6,0,0,21,0,Elijhaa Penny39
254,3,3,4,1,0.3,0,5,0,0.3,1,1,9,0,Jonathan Hilliman28
255,15,88,135,916,10.4,6,30,12,61.1,1,1,276,50,Zach Ertz86
256,15,58,87,607,10.5,5,28,8,40.5,2,2,363,33,Dallas Goedert88
257,16,50,63,509,10.2,3,45,8,31.8,0,0,419,19,Miles Sanders26
258,10,43,73,490,11.4,4,38,6,49.0,0,0,133,36,Alshon Jeffery17
259,11,39,69,363,9.3,3,43,5,33.0,2,1,146,17,Nelson Agholor13
260,7,28,40,254,9.1,1,38,1,36.3,0,0,105,18,Greg Ward Jr.84
261,11,24,26,204,8.5,0,39,2,18.5,1,0,277,10,Boston Scott35
262,16,10,22,169,16.9,1,30,4,10.6,0,0,21,7,J.J. Arcega-Whiteside19
263,3,9,10,159,17.7,2,53,2,53.0,0,0,13,6,DeSean Jackson10
264,12,10,21,125,12.5,0,20,1,10.4,0,0,40,7,Mack Hollins86
265,5,9,13,87,9.7,1,24,1,17.4,0,0,28,5,Josh Perkins81
266,10,10,14,69,6.9,1,20,1,6.9,0,0,72,3,Jordan Howard24
267,1,2,4,48,24.0,0,41,1,48.0,0,0,6,1,Deontay Burnett16
268,3,1,3,6,6.0,0,6,0,2.0,0,0,2,1,Robert Davis14
269,3,1,2,11,11.0,0,11,0,3.7,0,0,0,1,Robert Davis14
270,14,58,93,919,15.8,7,75,15,65.6,0,0,220,43,Terry McLaurin17
271,11,42,58,378,9.0,0,39,3,34.4,1,0,347,16,Chris Thompson25
272,11,42,58,378,9.0,0,39,3,34.4,1,0,347,16,Chris Thompson2
273,16,30,44,365,12.2,0,30,8,22.8,0,0,98,16,Kelvin Harmon13
274,16,34,56,310,9.1,4,65,2,19.4,0,0,167,18,Steven Sims Jr.15
275,16,26,40,241,9.3,1,23,2,15.1,1,0,102,13,Jeremy Sprinkle87
276,12,26,47,198,7.6,1,19,0,16.5,1,1,58,10,Trey Quinn18
277,15,17,23,142,8.4,0,22,3,9.5,1,1,160,7,Adrian Peterson26
278,11,8,14,103,12.9,1,24,2,9.4,0,0,48,6,Hale Hentges88
279,5,7,9,79,11.3,1,45,1,15.8,0,0,88,2,Derrius Guice29
280,7,2,3,27,13.5,0,15,0,3.9,0,0,9,1,Cam Sims89
281,16,98,154,1147,11.7,7,49,15,71.7,0,0,279,63,Allen Robinson II12
282,16,52,85,656,12.6,2,35,11,41.0,0,0,227,34,Anthony Miller17
283,16,79,104,456,5.8,3,31,2,28.5,1,0,437,18,Tarik Cohen29
284,16,18,39,186,10.3,1,37,1,11.6,0,0,42,9,Javon Wims83
285,16,25,35,185,7.4,1,30,2,11.6,0,0,169,7,David Montgomery32
286,14,7,8,91,13.0,0,30,1,6.5,0,0,81,4,J.P. Holtz81
287,6,8,10,87,10.9,1,20,1,14.5,0,0,36,4,Jesper Horsted49
288,8,14,24,84,6.0,0,16,0,10.5,0,0,39,5,Trey Burton80
289,16,11,17,83,7.5,0,33,1,5.2,0,0,74,3,Cordarrelle Patterson84
290,8,9,13,74,8.2,0,18,0,9.3,0,0,38,3,Adam Shaheen87
291,5,6,7,69,11.5,0,32,1,13.8,0,0,17,4,Riley Ridley88
292,11,6,11,59,9.8,1,18,0,5.4,0,0,24,5,Ben Braunecker82
293,7,7,8,22,3.1,0,7,0,3.1,0,0,30,1,Mike Davis27
294,2,2,3,21,10.5,0,11,0,10.5,0,0,20,1,Eric Saubert43
295,16,65,116,1190,18.3,11,75,22,74.4,1,1,301,52,Kenny Golladay19
296,13,62,91,779,12.6,9,47,12,59.9,0,0,121,41,Marvin Jones Jr.11
297,15,62,97,678,10.9,1,47,6,45.2,0,0,218,36,Danny Amendola80
298,12,32,59,367,11.5,2,39,6,30.6,0,0,202,19,T.J. Hockenson88
299,9,7,11,261,37.3,1,58,6,29.0,0,0,40,7,Marvin Hall17
300,16,34,42,233,6.9,1,26,3,14.6,0,0,240,7,J.D. McKissic41
301,16,16,28,173,10.8,1,17,0,10.8,0,0,82,10,Logan Thomas82
302,16,16,27,142,8.9,0,23,1,8.9,0,0,65,8,Jesse James83
303,8,10,15,127,12.7,1,36,3,15.9,0,0,122,7,Kerryon Johnson33
304,16,24,31,109,4.5,0,13,0,6.8,1,1,97,4,Ty Johnson31
305,7,3,10,60,20.0,0,48,1,8.6,0,0,9,2,Chris Lacy15
306,5,1,1,19,19.0,1,19,0,3.8,0,0,5,1,David Blough10
307,10,4,6,17,4.3,0,10,0,1.7,0,0,22,1,Nick Bawden46
308,6,2,3,13,6.5,0,10,0,2.2,0,0,7,1,Isaac Nauta89
309,3,1,1,6,6.0,0,6,0,2.0,0,0,10,0,Jeff Driskel9
310,6,1,4,5,5.0,0,5,0,0.8,0,0,8,0,Bo Scarbrough43
311,1,2,2,1,0.5,0,2,0,1.0,0,0,3,0,Wes Hills36
312,13,1,2,-2,-2.0,0,0,0,-0.2,0,0,1,0,Jamal Agnew39
313,12,83,127,997,12.0,5,58,12,83.1,2,1,393,54,Davante Adams17
314,16,35,52,477,13.6,3,43,6,29.8,0,0,145,24,Allen Lazard13
315,16,49,68,474,9.7,3,67,6,29.6,1,1,453,18,Aaron Jones33
316,16,26,56,452,17.4,2,74,7,28.3,0,0,152,14,Marquez Valdes-Scantling83
317,16,38,60,447,11.8,3,48,7,27.9,1,0,256,23,Jimmy Graham80
318,16,34,55,287,8.4,2,31,3,17.9,2,1,118,16,Geronimo Allison81
319,14,39,45,253,6.5,5,17,0,18.1,0,0,282,16,Jamaal Williams30
320,14,12,21,219,18.3,1,49,3,15.6,0,0,92,8,Jake Kumerow16
321,16,15,19,156,10.4,1,25,2,9.8,0,0,86,8,Marcedes Lewis89
322,11,10,15,100,10.0,1,28,2,9.1,0,0,28,4,Robert Tonyan85
323,15,7,12,97,13.9,0,27,3,6.5,0,0,58,3,Danny Vitale45
324,4,2,4,11,5.5,0,6,0,2.8,0,0,11,1,Tyler Ervin32
325,6,1,2,1,1.0,0,1,0,0.2,0,0,3,0,Darrius Shepherd9
326,15,63,94,1130,17.9,6,66,20,75.3,4,3,308,41,Stefon Diggs14
327,14,53,63,519,9.8,0,31,7,37.1,1,0,597,26,Dalvin Cook33
328,10,30,48,418,13.9,6,44,8,41.8,0,0,123,18,Adam Thielen19
329,16,39,48,367,9.4,6,32,3,22.9,0,0,194,24,Kyle Rudolph82
330,16,36,47,311,8.6,2,29,5,19.4,1,0,136,17,Irv Smith Jr.84
331,16,31,45,294,9.5,3,23,1,18.4,0,0,64,17,Bisi Johnson81
332,13,9,16,184,20.4,1,58,3,14.2,0,0,60,8,Laquon Treadwell80
333,16,17,26,149,8.8,1,36,3,9.3,0,0,124,6,C.J. Ham30
334,16,15,21,88,5.9,1,16,0,5.5,0,0,82,5,Ameer Abdullah31
335,13,10,12,82,8.2,0,17,0,6.3,0,0,76,3,Alexander Mattison25
336,3,2,2,70,35.0,0,61,1,23.3,0,0,67,2,Chad Beebe12
337,15,8,10,58,7.3,0,20,1,3.9,0,0,16,2,Tyler Conklin83
338,5,2,4,46,23.0,0,35,1,9.2,0,0,5,2,Alexander Hollins15
339,16,3,4,17,5.7,0,7,0,1.1,0,0,26,0,Mike Boone23
340,16,1,1,-4,-4.0,0,-4,0,-0.3,0,0,2,0,Garrett Bradbury56
341,15,99,157,1394,14.1,6,54,21,92.9,1,0,360,77,Julio Jones11
342,13,63,93,866,13.7,7,36,12,66.6,0,0,139,47,Calvin Ridley18
343,13,75,97,787,10.5,6,35,8,60.5,0,0,329,41,Austin Hooper81
344,16,49,74,446,9.1,1,19,0,27.9,0,0,167,25,Russell Gage83
345,16,9,10,149,16.6,1,53,3,9.3,0,0,72,7,Jaeden Graham87
346,10,3,5,115,38.3,1,93,1,11.5,0,0,62,2,Olamide Zaccheaus17
347,9,11,24,91,8.3,0,13,0,10.1,0,0,23,5,Christian Blake13
348,7,11,14,87,7.9,0,10,0,12.4,0,0,78,2,Ito Smith25
349,12,10,14,69,6.9,1,12,0,5.8,0,0,53,4,Brian Hill23
350,13,1,1,35,35.0,1,35,1,2.7,0,0,22,1,Ty Sambrailo74
351,16,1,3,13,13.0,0,13,0,0.8,0,0,13,1,Keith Smith40
352,8,1,2,7,7.0,0,7,0,0.9,0,0,3,1,Qadree Ollison30
353,16,1,1,-3,-3.0,0,-3,0,-0.2,0,0,-3,0,Kaleb McGary76
354,15,87,135,1175,13.5,4,52,13,78.3,2,1,403,63,DJ Moore12
355,16,116,142,1005,8.7,4,28,7,62.8,0,0,1010,58,Christian McCaffrey22
356,16,54,105,627,11.6,6,44,8,39.2,0,0,153,36,Curtis Samuel10
357,14,52,82,597,11.5,2,41,6,42.6,0,0,217,34,Greg Olsen88
358,16,16,30,136,8.5,1,19,0,8.5,0,0,77,10,Ian Thomas80
359,8,8,12,106,13.3,0,40,2,13.3,0,0,19,5,Brandon Zylstra16
360,16,6,9,57,9.5,0,32,1,3.6,0,0,50,1,Reggie Bonnafon39
361,10,4,9,51,12.8,0,18,0,5.1,0,0,26,3,DeAndrew White18
362,15,1,1,11,11.0,0,11,0,0.7,0,0,9,1,Chris Manhertz82
363,16,2,2,6,3.0,0,4,0,0.4,0,0,7,0,Alex Armah40
364,16,149,185,1725,11.6,9,49,17,107.8,1,0,582,91,Michael Thomas31
365,16,149,185,1725,11.6,9,49,17,107.8,1,0,582,91,Michael Thomas13
366,14,43,65,705,16.4,9,61,15,50.4,0,0,258,32,Jared Cook87
367,14,81,97,533,6.6,1,41,2,38.1,1,0,568,28,Alvin Kamara41
368,16,30,56,421,14.0,2,45,7,26.3,0,0,47,20,Ted Ginn Jr.19
369,16,34,43,235,6.9,1,30,1,14.7,0,0,289,9,Latavius Murray28
370,16,19,22,234,12.3,6,45,5,14.6,0,0,152,14,Taysom Hill7
371,11,18,25,234,13.0,5,32,3,21.3,0,0,114,17,Tre'Quan Smith10
372,16,25,35,226,9.0,3,29,4,14.1,0,0,161,13,Josh Hill89
373,2,2,4,25,12.5,0,19,0,12.5,0,0,2,1,Dan Arnold82
374,3,6,10,102,17.0,2,37,3,34.0,0,0,28,5,Dan Arnold82
375,14,6,6,24,4.0,0,13,0,1.7,0,0,38,2,Deonte Harris11
376,1,1,1,8,8.0,0,8,0,8.0,0,0,7,0,Ricky Ortiz30
377,16,1,1,6,6.0,0,6,0,0.4,0,0,12,0,Dwayne Washington24
378,8,1,1,4,4.0,0,4,0,0.5,0,0,2,0,Krishawn Hogan81
379,14,86,121,1333,15.5,9,71,25,95.2,0,0,591,63,Chris Godwin14
380,13,67,118,1157,17.3,8,67,17,89.0,0,0,276,54,Mike Evans13
381,14,36,70,645,17.9,6,44,15,46.1,0,0,134,29,Breshad Perriman19
382,14,34,53,459,13.5,1,33,8,32.8,1,1,165,23,O.J. Howard80
383,16,36,55,311,8.6,4,37,1,19.4,0,0,99,21,Cameron Brate84
384,16,31,40,309,10.0,0,41,3,19.3,1,1,303,12,Ronald Jones II27
385,16,35,46,286,8.2,0,21,1,17.9,1,1,212,14,Dare Ogunbowale44
386,10,13,26,200,15.4,1,48,3,20.0,0,0,38,5,Scotty Miller10
387,16,15,26,159,10.6,2,17,0,9.9,0,0,12,10,Justin Watson17
388,16,16,24,115,7.2,1,16,0,7.2,0,0,124,4,Peyton Barber25
389,2,2,4,34,17.0,0,31,1,17.0,0,0,0,2,Ishmael Hyman13
390,1,1,1,30,30.0,0,30,1,30.0,0,0,-1,1,Codey McElroy86
391,9,2,5,26,13.0,0,14,0,2.9,0,0,2,1,Tanner Hudson88
392,12,2,3,13,6.5,0,11,0,1.1,0,0,9,1,T.J. Logan22
393,8,1,3,11,11.0,0,11,0,1.4,0,0,8,1,Antony Auclair82
394,2,1,1,3,3.0,0,3,0,1.5,0,0,1,0,Cyril Grayson15
395,16,1,1,1,1.0,1,1,0,0.1,0,0,0,1,Vita Vea50
396,16,75,109,804,10.7,4,54,10,50.3,1,1,358,40,Larry Fitzgerald11
397,13,68,107,709,10.4,3,69,6,54.5,0,0,291,31,Christian Kirk13
398,13,36,47,370,10.3,4,31,7,28.5,1,1,232,17,David Johnson31
399,11,32,46,359,11.2,1,58,3,32.6,1,1,147,16,Damiere Byrd14
400,12,25,33,243,9.7,1,28,4,20.3,0,0,77,10,Pharoh Cooper14
401,16,15,19,202,13.5,1,28,5,12.6,0,0,112,11,Maxx Williams87
402,15,9,13,189,21.0,1,88,2,12.6,0,0,142,4,Andy Isabella89
403,10,21,42,187,8.9,1,31,1,18.7,1,1,42,10,KeeSean Johnson19
404,13,12,21,105,8.8,1,31,1,8.1,0,0,106,5,Chase Edmonds29
405,16,4,13,80,20.0,0,38,2,5.0,0,0,13,4,Trent Sherfield16
406,11,1,3,4,4.0,0,4,0,0.4,0,0,0,1,Darrell Daniels81
407,16,94,134,1161,12.4,10,66,21,72.6,3,0,547,51,Cooper Kupp18
408,15,90,139,1134,12.6,2,48,14,75.6,0,0,584,54,Robert Woods17
409,15,69,89,734,10.6,3,33,11,48.9,0,0,403,36,Tyler Higbee89
410,14,42,72,583,13.9,2,57,9,41.6,0,0,169,32,Brandin Cooks12
411,13,37,60,408,11.0,2,33,6,31.4,0,0,180,22,Gerald Everett81
412,16,21,43,326,15.5,1,31,8,20.4,0,0,145,15,Josh Reynolds83
413,15,31,49,207,6.7,2,23,3,13.8,0,0,194,8,Todd Gurley II21
414,13,4,6,37,9.3,0,14,0,2.8,0,0,38,1,Darrell Henderson Jr.27
415,13,4,7,26,6.5,0,9,0,2.0,0,0,11,1,Johnny Mundt82
416,14,2,6,16,8.0,0,10,0,1.1,0,0,7,0,Malcolm Brown34
417,16,2,5,14,7.0,0,9,0,0.9,0,0,10,1,Mike Thomas80
418,14,85,107,1053,12.4,5,61,16,75.2,1,0,622,53,George Kittle85
419,15,57,81,802,14.1,3,42,17,53.5,2,1,481,32,Deebo Samuel19
420,16,30,44,358,11.9,5,30,4,22.4,0,0,116,23,Kendrick Bourne84
421,12,20,24,239,11.9,1,49,4,19.9,0,0,159,11,Kyle Juszczyk44
422,9,12,21,186,15.5,1,38,3,20.7,0,0,38,10,Marquise Goodwin1
423,14,21,30,180,8.6,1,37,2,12.9,0,0,204,9,Tevin Coleman26
424,16,14,22,180,12.9,2,39,3,11.3,0,0,154,6,Raheem Mostert31
425,16,6,10,165,27.5,1,57,3,10.3,0,0,106,5,Richie James Jr.13
426,13,19,22,120,6.3,1,17,0,9.2,0,0,131,6,Matt Breida22
427,11,11,24,109,9.9,2,21,2,9.9,0,0,23,7,Dante Pettis18
428,16,15,22,91,6.1,2,25,1,5.7,0,0,40,8,Ross Dwelley82
429,10,3,5,34,11.3,1,25,1,3.4,0,0,22,1,Jeff Wilson Jr.30
430,13,2,2,10,5.0,0,8,0,0.8,0,0,14,0,Levine Toilolo85
431,16,82,110,1057,12.9,8,44,15,66.1,1,0,314,53,Tyler Lockett16
432,16,58,100,900,15.5,7,54,13,56.3,3,3,278,39,DK Metcalf14
433,11,41,59,349,8.5,3,22,3,31.7,0,0,174,16,Jacob Hollister48
434,14,17,34,301,17.7,2,60,5,21.5,1,1,134,14,David Moore83
435,15,37,47,266,7.2,2,21,2,17.7,1,1,315,10,Chris Carson32
436,6,23,27,262,11.4,4,38,3,43.7,1,0,81,14,Will Dissly89
437,10,8,11,83,10.4,1,30,1,8.3,0,0,94,3,Rashaad Penny20
438,8,8,10,79,9.9,0,17,0,9.9,0,0,39,5,Luke Willson82
439,16,11,13,56,5.1,0,11,0,3.5,0,0,63,3,Travis Homer25
440,14,2,2,23,11.5,1,20,1,1.6,0,0,20,2,Nick Bellore44
441,3,1,1,11,11.0,0,11,0,3.7,0,0,0,1,John Ursua15
