,team,year,points_scored_gm,rush_yds_gm,pass_yds_gm,total_yds_gm,points_allowed_gm,rush_yds_allowed_gm,pass_yds_allowed_gm,yds_allowed_gm
0,Dallas Cowboys,2019,27.1,134.6,296.9,431.5,20.1,103.5,223.5,327.0
1,Baltimore Ravens,2019,33.2,206.0,201.6,407.6,17.6,93.4,207.2,300.6
2,Tampa Bay Buccaneers,2019,28.6,95.1,302.8,397.9,28.1,73.8,270.1,343.9
3,San Francisco 49ers,2019,29.9,144.1,237.0,381.1,19.4,112.6,169.2,281.8
4,Atlanta Falcons,2019,23.8,85.1,294.6,379.7,24.9,110.9,244.9,355.8
5,Kansas City Chiefs,2019,28.2,98.1,281.1,379.2,19.2,128.2,221.4,349.6
6,Los Angeles Rams,2019,24.6,93.7,281.2,374.9,22.8,113.1,226.6,339.6
7,Seattle Seahawks,2019,25.3,137.5,236.9,374.4,24.9,117.7,263.9,381.6
8,New Orleans Saints,2019,28.6,108.6,265.2,373.9,21.3,91.3,241.8,333.1
9,Los Angeles Chargers,2019,21.1,90.8,276.6,367.4,21.6,112.8,200.2,313.1
10,Oakland Raiders,2019,19.6,118.3,245.4,363.7,26.2,98.1,256.7,354.8
11,Tennessee Titans,2019,25.1,138.9,223.9,362.8,20.7,104.5,255.0,359.5
12,Houston Texans,2019,23.6,125.6,236.4,362.0,24.1,121.1,267.2,388.3
13,Philadelphia Eagles,2019,24.1,121.2,239.6,360.8,22.1,90.1,241.6,331.7
14,New England Patriots,2019,26.2,106.4,247.6,354.0,14.1,95.5,180.4,275.9
15,Minnesota Vikings,2019,25.4,133.3,220.2,353.5,18.9,108.0,233.6,341.6
16,Detroit Lions,2019,21.3,103.1,243.8,346.8,26.4,115.9,284.4,400.4
17,Green Bay Packers,2019,23.5,112.2,233.3,345.5,19.6,120.1,232.6,352.6
18,Carolina Panthers,2019,21.2,113.7,228.1,341.8,29.4,143.5,231.0,374.5
19,Jacksonville Jaguars,2019,18.8,106.8,235.0,341.8,24.8,139.3,236.1,375.4
20,Arizona Cardinals,2019,22.6,124.4,217.3,341.7,27.6,120.1,281.9,402.0
21,Cleveland Browns,2019,20.9,118.8,222.1,340.9,24.6,144.7,216.9,361.6
22,New York Giants,2019,21.3,105.3,233.2,338.5,28.2,113.2,264.1,377.3
23,Buffalo Bills,2019,19.6,128.4,201.8,330.2,16.2,103.1,195.2,298.2
24,Indianapolis Colts,2019,22.6,133.1,194.2,327.4,23.3,97.9,248.9,346.8
25,Cincinnati Bengals,2019,17.4,94.8,228.2,323.1,26.2,148.9,244.8,393.7
26,Miami Dolphins,2019,19.1,72.2,237.8,310.0,30.9,135.4,262.4,397.8
27,Denver Broncos,2019,17.6,103.9,194.7,298.6,19.8,111.4,225.6,337.0
28,Chicago Bears,2019,17.5,91.1,205.7,296.8,18.6,102.0,222.1,324.1
29,Pittsburgh Steelers,2019,18.1,90.4,186.3,276.8,18.9,109.6,194.6,304.1
30,Washington Redskins,2019,16.6,98.9,175.8,274.7,27.2,146.2,238.9,385.1
31,New York Jets,2019,17.2,78.6,194.4,273.0,22.4,86.9,236.2,323.1
0,Kansas City Chiefs,2018,35.3,115.9,309.7,425.6,26.3,132.1,273.4,405.5
1,Los Angeles Rams,2018,32.9,139.4,281.7,421.1,24.0,122.3,236.2,358.6
2,Tampa Bay Buccaneers,2018,24.8,95.2,320.3,415.5,29.0,123.9,259.4,383.4
3,Pittsburgh Steelers,2018,26.8,90.3,313.0,403.3,22.5,96.1,231.1,327.2
4,New England Patriots,2018,27.2,127.3,266.1,393.4,20.3,112.7,246.4,359.1
5,Atlanta Falcons,2018,25.9,98.3,290.8,389.1,26.4,124.9,259.6,384.5
6,Indianapolis Colts,2018,27.1,107.4,278.8,386.2,21.5,101.6,237.8,339.4
7,New Orleans Saints,2018,31.5,126.6,252.6,379.2,22.1,80.2,268.9,349.1
8,Baltimore Ravens,2018,24.3,152.6,222.4,374.9,17.9,82.9,210.0,292.9
9,Carolina Panthers,2018,23.5,133.5,239.8,373.2,23.9,112.8,240.4,353.2
10,Los Angeles Chargers,2018,26.8,117.1,255.6,372.6,20.6,105.8,227.9,333.7
11,Green Bay Packers,2018,23.5,104.2,264.9,369.1,25.0,119.9,234.5,354.4
12,Cleveland Browns,2018,22.4,118.3,250.4,368.8,24.5,135.2,257.8,393.0
13,Philadelphia Eagles,2018,22.9,98.1,267.2,365.3,21.8,96.9,269.2,366.2
14,Houston Texans,2018,25.1,126.3,236.3,362.6,19.8,82.7,260.4,343.1
15,San Francisco 49ers,2018,21.4,118.9,241.7,360.6,27.2,113.4,233.2,346.6
16,New York Giants,2018,23.1,103.1,252.9,356.1,25.8,118.6,252.8,371.4
17,Seattle Seahawks,2018,26.8,160.0,193.3,353.3,21.7,113.2,240.1,353.3
18,Denver Broncos,2018,20.6,119.2,230.9,350.1,21.8,119.6,245.6,365.1
19,Minnesota Vikings,2018,22.5,93.3,252.2,345.6,21.3,113.4,196.2,309.7
20,Chicago Bears,2018,26.3,121.1,222.8,343.9,17.7,80.0,219.7,299.7
21,Dallas Cowboys,2018,21.2,122.7,221.1,343.8,20.2,94.6,234.7,329.2
22,Oakland Raiders,2018,18.1,101.8,234.4,336.2,29.2,140.6,240.8,381.4
23,Detroit Lions,2018,20.2,103.8,223.5,327.2,22.5,110.1,224.9,335.0
24,Tennessee Titans,2018,19.4,126.4,185.9,312.4,18.9,116.4,216.9,333.4
25,Cincinnati Bengals,2018,23.0,105.1,205.6,310.8,28.4,137.8,275.9,413.6
26,Jacksonville Jaguars,2018,15.3,107.7,194.3,302.0,19.8,116.9,194.6,311.4
27,Washington Redskins,2018,17.6,110.9,188.8,299.7,22.4,116.2,237.1,353.4
28,New York Jets,2018,20.8,101.4,197.8,299.2,27.6,126.3,254.1,380.4
29,Buffalo Bills,2018,16.8,124.0,174.6,298.6,23.4,114.9,179.2,294.1
30,Miami Dolphins,2018,19.9,108.6,181.2,289.9,27.1,145.3,245.8,391.1
31,Arizona Cardinals,2018,14.1,83.9,157.7,241.6,26.6,154.9,203.9,358.8
0,New England Patriots,2017,28.6,118.1,276.1,394.2,18.5,114.8,251.2,366.0
1,New Orleans Saints,2017,28.0,129.4,261.8,391.2,20.4,111.7,224.8,336.5
2,Pittsburgh Steelers,2017,25.4,104.2,273.8,377.9,19.2,105.8,201.1,306.9
3,Los Angeles Chargers,2017,22.2,99.7,276.9,376.6,17.0,131.1,197.2,328.4
4,Kansas City Chiefs,2017,25.9,118.9,256.5,375.4,21.2,118.1,247.0,365.1
5,Jacksonville Jaguars,2017,26.1,141.4,224.6,365.9,16.8,116.2,169.9,286.1
6,Philadelphia Eagles,2017,28.6,132.2,233.6,365.8,18.4,79.2,227.3,306.5
7,Atlanta Falcons,2017,22.1,115.4,249.4,364.8,19.7,104.1,214.3,318.4
8,Tampa Bay Buccaneers,2017,20.9,90.6,272.9,363.5,23.9,117.5,260.6,378.1
9,Los Angeles Rams,2017,29.9,122.1,239.4,361.5,20.6,122.3,217.2,339.5
10,Minnesota Vikings,2017,23.9,122.3,234.6,356.9,15.8,83.6,192.4,275.9
11,San Francisco 49ers,2017,20.7,103.9,245.3,349.2,23.9,116.3,235.2,351.6
12,Detroit Lions,2017,25.6,76.3,261.4,337.8,23.5,112.5,243.2,355.8
13,Dallas Cowboys,2017,22.1,135.6,196.3,331.9,20.8,104.0,214.1,318.1
14,Seattle Seahawks,2017,22.9,101.8,228.6,330.4,20.8,114.0,209.2,323.2
15,Washington Redskins,2017,21.4,90.5,234.4,324.9,24.2,134.1,213.8,347.9
16,Denver Broncos,2017,18.1,115.8,208.3,324.1,23.9,89.4,200.6,290.0
17,Oakland Raiders,2017,18.8,97.1,226.9,324.1,23.3,108.9,241.1,350.1
18,Carolina Panthers,2017,22.7,131.4,192.3,323.7,20.4,88.1,229.1,317.1
19,Houston Texans,2017,21.1,115.1,204.9,320.0,27.2,109.2,237.4,346.6
20,New York Giants,2017,15.4,96.8,217.4,314.2,24.2,120.8,252.4,373.2
21,Arizona Cardinals,2017,18.4,86.6,227.5,314.1,22.6,89.6,221.3,310.9
22,Tennessee Titans,2017,20.9,114.6,199.4,314.0,22.2,88.8,239.2,328.0
23,Cleveland Browns,2017,14.6,107.1,201.8,308.9,25.6,97.9,230.2,328.1
24,Miami Dolphins,2017,17.6,86.8,220.9,307.7,24.6,110.5,225.2,335.7
25,Green Bay Packers,2017,20.0,107.8,197.9,305.7,24.0,112.1,236.8,348.9
26,Baltimore Ravens,2017,24.7,116.0,189.4,305.4,18.9,111.2,213.8,325.1
27,New York Jets,2017,18.6,106.4,198.9,305.2,23.9,117.9,234.3,352.2
28,Buffalo Bills,2017,18.9,126.1,176.6,302.6,22.4,124.6,230.5,355.1
29,Chicago Bears,2017,16.5,111.8,175.7,287.4,20.0,108.1,211.0,319.1
30,Indianapolis Colts,2017,16.4,103.8,180.8,284.6,25.2,120.4,246.6,367.1
31,Cincinnati Bengals,2017,18.1,85.4,195.1,280.5,21.8,127.9,211.2,339.1
0,New Orleans Saints,2016,29.3,108.9,317.1,426.0,28.4,101.6,273.8,375.4
1,Atlanta Falcons,2016,33.8,120.5,295.3,415.8,25.4,104.5,266.7,371.2
2,Washington Redskins,2016,24.8,106.0,297.4,403.4,23.9,119.8,258.1,377.9
3,New England Patriots,2016,27.6,117.0,269.2,386.2,15.6,88.6,237.9,326.4
4,Dallas Cowboys,2016,26.3,149.8,226.9,376.7,19.1,83.5,260.4,343.9
5,Oakland Raiders,2016,26.0,120.1,253.2,373.3,24.1,117.6,257.5,375.1
6,Pittsburgh Steelers,2016,24.9,110.0,262.6,372.6,20.4,100.0,242.6,342.6
7,Green Bay Packers,2016,27.0,106.3,262.4,368.8,24.2,94.7,269.2,363.9
8,Arizona Cardinals,2016,26.1,108.2,258.5,366.8,22.6,94.9,210.3,305.2
9,Indianapolis Colts,2016,25.7,101.8,262.6,364.4,24.5,120.4,262.5,382.9
10,Tennessee Titans,2016,23.8,136.7,221.3,358.0,23.6,88.3,269.2,357.5
11,Seattle Seahawks,2016,22.1,99.4,257.8,357.2,18.2,92.9,225.8,318.7
12,Cincinnati Bengals,2016,20.3,110.6,246.4,356.9,19.7,113.2,237.5,350.8
13,San Diego Chargers,2016,25.6,94.4,262.4,356.8,26.4,97.9,249.2,347.1
14,Chicago Bears,2016,17.4,108.4,248.1,356.5,24.9,121.9,224.9,346.8
15,Buffalo Bills,2016,24.9,164.4,189.8,354.1,23.6,133.1,223.9,357.0
16,Baltimore Ravens,2016,21.4,91.4,256.2,347.7,20.1,89.4,232.8,322.1
17,Tampa Bay Buccaneers,2016,22.1,101.0,245.4,346.4,23.1,117.2,250.8,367.9
18,Carolina Panthers,2016,23.1,113.4,230.3,343.7,25.1,91.6,268.2,359.8
19,Kansas City Chiefs,2016,24.3,109.2,233.8,343.0,19.4,121.1,247.4,368.5
20,Detroit Lions,2016,21.6,81.9,256.9,338.8,22.4,106.3,248.4,354.8
21,Philadelphia Eagles,2016,22.9,113.3,224.1,337.4,20.7,103.2,239.5,342.8
22,Jacksonville Jaguars,2016,19.9,101.9,233.0,334.9,25.0,106.4,215.2,321.7
23,Miami Dolphins,2016,22.7,114.0,218.8,332.8,23.8,140.4,242.2,382.6
24,New York Giants,2016,19.4,88.2,242.4,330.7,17.8,88.6,251.1,339.7
25,New York Jets,2016,17.2,112.6,216.6,329.2,25.6,98.8,243.6,342.4
26,Denver Broncos,2016,20.8,92.8,230.3,323.1,18.6,130.3,185.8,316.1
27,Minnesota Vikings,2016,20.4,75.3,239.8,315.1,19.2,106.9,207.9,314.9
28,Houston Texans,2016,17.4,116.2,198.5,314.7,20.5,99.7,201.6,301.3
29,Cleveland Browns,2016,16.5,107.0,204.0,311.0,28.2,142.7,249.8,392.4
30,San Francisco 49ers,2016,19.3,126.2,181.9,308.1,30.0,165.9,240.5,406.4
31,Los Angeles Rams,2016,14.0,78.2,184.4,262.7,24.6,103.8,233.2,337.0
0,Arizona Cardinals,2015,30.6,119.8,288.5,408.3,19.6,91.2,230.4,321.7
1,New Orleans Saints,2015,25.5,93.2,310.6,403.8,29.8,129.4,284.0,413.4
2,Pittsburgh Steelers,2015,26.4,107.8,287.7,395.4,19.9,91.2,271.9,363.1
3,Seattle Seahawks,2015,26.4,141.8,236.9,378.6,17.3,81.5,210.2,291.8
4,Tampa Bay Buccaneers,2015,21.4,135.1,240.8,375.9,26.1,100.4,240.0,340.4
5,New England Patriots,2015,29.1,87.8,286.7,374.4,19.7,98.8,240.7,339.4
6,Atlanta Falcons,2015,21.2,100.4,273.7,374.1,21.6,105.0,242.6,347.6
7,New York Giants,2015,26.2,100.6,271.4,372.0,27.6,121.4,298.9,420.3
8,San Diego Chargers,2015,20.0,84.9,286.9,371.8,24.9,125.3,236.6,361.9
9,New York Jets,2015,24.2,116.8,253.6,370.3,19.6,83.4,235.2,318.6
10,Carolina Panthers,2015,31.2,142.6,224.3,366.9,19.2,88.4,234.5,322.9
11,Philadelphia Eagles,2015,23.6,108.9,255.4,364.4,26.9,134.6,267.1,401.6
12,Buffalo Bills,2015,23.7,152.0,208.9,360.9,22.4,108.1,248.2,356.4
13,Baltimore Ravens,2015,20.5,92.4,266.9,359.3,25.1,103.8,233.6,337.4
14,Cincinnati Bengals,2015,26.2,112.8,245.2,358.0,17.4,92.3,248.5,340.8
15,Denver Broncos,2015,22.2,107.4,248.1,355.5,18.5,83.6,199.6,283.1
16,Washington Redskins,2015,24.2,97.9,255.9,353.8,23.7,122.6,258.0,380.6
17,Jacksonville Jaguars,2015,23.5,92.1,256.8,348.8,28.0,106.8,268.2,375.0
18,Houston Texans,2015,21.2,108.2,239.6,347.8,19.6,99.8,210.4,310.2
19,Detroit Lions,2015,22.4,83.4,263.2,346.7,25.0,113.0,236.6,349.6
20,Chicago Bears,2015,20.9,115.9,228.8,344.6,24.8,120.9,224.6,345.4
21,Dallas Cowboys,2015,17.2,118.1,216.9,335.1,23.4,120.9,227.0,347.9
22,Green Bay Packers,2015,23.0,115.6,218.9,334.6,20.2,119.1,227.6,346.7
23,Oakland Raiders,2015,22.4,91.1,242.4,333.5,24.9,104.9,258.8,363.6
24,Cleveland Browns,2015,17.4,95.6,236.4,331.9,27.0,128.4,250.8,379.2
25,Miami Dolphins,2015,19.4,93.5,238.2,331.7,24.3,126.2,250.0,376.2
26,Kansas City Chiefs,2015,25.3,127.8,203.4,331.2,17.9,98.2,231.1,329.3
27,Indianapolis Colts,2015,20.8,89.9,231.5,321.4,25.5,122.0,257.1,379.1
28,Minnesota Vikings,2015,22.8,138.2,183.0,321.2,18.9,109.2,234.9,344.2
29,Tennessee Titans,2015,18.7,92.8,218.9,311.8,26.4,112.3,229.9,342.2
30,San Francisco 49ers,2015,14.9,96.5,207.2,303.8,24.2,126.2,261.2,387.4
31,St. Louis Rams,2015,17.5,122.2,175.3,297.6,20.6,113.8,254.1,367.8
0,New Orleans Saints,2014,25.1,113.6,297.8,411.4,26.5,132.8,251.2,384.0
1,Pittsburgh Steelers,2014,27.2,109.5,301.6,411.1,23.0,100.3,253.1,353.4
2,Indianapolis Colts,2014,28.6,100.8,305.9,406.6,23.1,113.4,229.3,342.7
3,Denver Broncos,2014,30.1,111.6,291.3,402.9,22.1,79.8,225.4,305.2
4,Philadelphia Eagles,2014,29.6,124.5,272.2,396.8,25.0,110.7,264.9,375.6
5,Green Bay Packers,2014,30.4,119.8,266.3,386.1,21.8,119.9,226.4,346.4
6,Dallas Cowboys,2014,29.2,147.1,236.5,383.6,22.0,103.1,251.9,355.1
7,Atlanta Falcons,2014,23.8,93.6,284.6,378.2,26.1,118.4,279.9,398.2
8,Seattle Seahawks,2014,24.6,172.6,203.1,375.8,15.9,81.5,185.6,267.1
9,New York Giants,2014,23.8,100.2,267.0,367.2,25.0,135.1,240.6,375.8
10,New England Patriots,2014,29.2,107.9,257.6,365.5,19.6,104.3,239.8,344.1
11,Baltimore Ravens,2014,25.6,126.2,238.7,364.9,18.9,88.2,248.7,336.9
12,Washington Redskins,2014,18.8,105.7,252.9,358.6,27.4,107.6,249.4,357.0
13,Miami Dolphins,2014,24.2,117.0,233.1,350.1,23.3,121.1,222.3,343.4
14,Cincinnati Bengals,2014,22.8,134.2,213.8,348.0,21.5,116.3,243.0,359.3
15,Carolina Panthers,2014,21.2,127.2,219.4,346.7,23.4,112.0,227.8,339.8
16,Houston Texans,2014,23.2,135.1,209.5,344.6,19.2,105.1,243.1,348.2
17,San Diego Chargers,2014,21.8,85.4,256.1,341.6,21.8,124.1,214.2,338.3
18,Detroit Lions,2014,20.1,88.9,251.9,340.8,17.6,69.3,231.6,300.9
19,San Francisco 49ers,2014,19.1,136.0,191.4,327.4,21.2,100.8,220.7,321.4
20,Chicago Bears,2014,19.9,90.1,237.0,327.1,27.6,112.7,264.4,377.1
21,New York Jets,2014,17.7,142.5,184.1,326.6,25.1,93.1,234.1,327.2
22,Cleveland Browns,2014,18.7,108.0,216.6,324.6,21.1,141.6,224.5,366.1
23,Arizona Cardinals,2014,19.4,81.8,238.0,319.8,18.7,108.7,259.5,368.2
24,Kansas City Chiefs,2014,22.1,119.9,198.9,318.8,17.6,127.2,203.2,330.5
25,Buffalo Bills,2014,21.4,92.6,225.9,318.5,18.1,106.4,205.8,312.2
26,Minnesota Vikings,2014,20.3,112.8,202.8,315.5,21.4,121.4,223.2,344.7
27,St. Louis Rams,2014,20.2,102.2,212.5,314.7,22.1,110.3,241.3,351.6
28,Tennessee Titans,2014,15.9,90.4,213.2,303.7,27.4,137.2,235.8,373.0
29,Tampa Bay Buccaneers,2014,17.3,85.9,206.1,292.0,25.6,113.7,255.2,368.9
30,Jacksonville Jaguars,2014,15.6,102.1,187.6,289.6,25.8,127.1,243.7,370.8
31,Oakland Raiders,2014,15.8,77.5,204.7,282.2,28.2,119.4,238.1,357.6
0,Denver Broncos,2013,37.9,117.1,340.2,457.3,24.9,101.6,254.4,356.0
1,Philadelphia Eagles,2013,27.6,160.4,256.9,417.2,23.9,104.2,289.8,394.0
2,Green Bay Packers,2013,26.1,133.5,266.8,400.2,26.8,125.0,247.2,372.2
3,New Orleans Saints,2013,25.9,92.1,307.4,399.4,19.0,111.6,194.1,305.7
4,San Diego Chargers,2013,24.8,122.8,270.5,393.3,21.8,107.8,258.7,366.5
5,Detroit Lions,2013,24.7,112.0,280.1,392.1,23.5,99.8,246.9,346.6
6,New England Patriots,2013,27.8,129.1,255.4,384.5,21.1,134.1,239.0,373.1
7,Chicago Bears,2013,27.8,114.2,267.6,381.8,29.9,161.4,233.1,394.6
8,Washington Redskins,2013,20.9,135.2,234.4,369.7,29.9,110.6,243.5,354.1
9,Cincinnati Bengals,2013,26.9,109.7,258.5,368.2,19.1,96.5,209.0,305.5
10,Houston Texans,2013,17.2,108.9,238.3,347.2,26.8,122.4,195.2,317.6
11,Arizona Cardinals,2013,23.7,96.2,250.1,346.4,20.2,84.4,233.0,317.4
12,Minnesota Vikings,2013,24.4,130.1,214.2,344.2,30.0,110.4,287.2,397.6
13,Atlanta Falcons,2013,22.1,77.9,265.2,343.1,27.7,135.8,243.6,379.4
14,Indianapolis Colts,2013,24.4,108.9,232.8,341.8,21.0,125.1,231.9,357.1
15,Dallas Cowboys,2013,27.4,94.0,247.1,341.1,27.0,128.5,286.8,415.3
16,Cleveland Browns,2013,19.2,86.4,252.9,339.4,25.4,111.3,221.1,332.4
17,Seattle Seahawks,2013,26.1,136.8,202.2,339.0,14.4,101.6,172.0,273.6
18,Buffalo Bills,2013,21.2,144.2,193.9,338.1,24.2,128.9,204.4,333.4
