,team,year,points_scored_gm,rush_yds_gm,pass_yds_gm,total_yds_gm,points_allowed_gm,rush_yds_allowed_gm,pass_yds_allowed_gm,yds_allowed_gm
8,Green Bay Packers,2006,18.8,103.9,237.2,341.1,22.9,114.1,206.8,320.9
9,Jacksonville Jaguars,2006,23.2,158.8,180.1,338.9,17.1,91.2,192.4,283.6
10,New England Patriots,2006,24.1,123.1,212.5,335.6,14.8,94.2,200.2,294.4
11,Atlanta Falcons,2006,18.2,183.7,148.2,331.9,20.5,103.6,229.2,332.8
12,Washington Redskins,2006,19.2,138.5,189.2,327.7,23.5,137.3,218.2,355.5
13,New York Giants,2006,22.2,134.8,191.1,325.9,22.6,114.4,228.1,342.4
14,Chicago Bears,2006,26.7,119.9,205.1,324.9,15.9,99.4,194.8,294.1
15,Kansas City Chiefs,2006,20.7,133.9,187.5,321.4,19.7,120.5,208.4,328.9
16,Baltimore Ravens,2006,22.1,102.3,214.7,317.0,12.6,75.9,188.2,264.1
17,Arizona Cardinals,2006,19.6,83.6,228.9,312.5,24.3,118.6,230.9,349.4
18,Seattle Seahawks,2006,20.9,120.2,190.9,311.1,21.3,126.8,203.5,330.3
19,Miami Dolphins,2006,16.2,104.6,205.4,310.0,17.7,101.1,187.9,289.1
20,Denver Broncos,2006,19.9,134.5,174.9,309.4,19.1,113.3,213.1,326.4
21,Detroit Lions,2006,19.1,70.6,238.8,309.3,24.9,125.6,220.0,345.6
22,Minnesota Vikings,2006,17.6,113.8,195.2,308.9,20.4,61.6,238.6,300.2
23,Carolina Panthers,2006,16.9,103.7,204.0,307.7,19.1,108.6,187.5,296.1
24,New York Jets,2006,19.8,108.6,197.1,305.7,18.4,130.2,201.4,331.6
25,San Francisco 49ers,2006,18.6,135.8,168.0,303.8,25.8,121.0,223.2,344.2
26,Tennessee Titans,2006,20.2,138.4,162.2,300.6,25.0,144.6,225.1,369.7
27,Houston Texans,2006,16.7,105.4,173.6,279.1,22.9,122.2,215.2,337.5
28,Tampa Bay Buccaneers,2006,13.2,95.2,174.9,270.1,22.1,119.8,209.6,329.4
29,Buffalo Bills,2006,18.8,97.0,169.9,266.9,19.4,140.9,188.7,329.6
30,Cleveland Browns,2006,14.9,83.4,181.1,264.6,22.2,142.2,202.6,344.8
31,Oakland Raiders,2006,10.5,94.9,151.2,246.2,20.8,134.0,150.8,284.8
0,Kansas City Chiefs,2005,25.2,148.9,238.1,387.0,20.3,98.1,229.9,328.1
1,Seattle Seahawks,2005,28.2,153.6,216.1,369.7,16.9,94.4,222.4,316.8
2,Indianapolis Colts,2005,27.4,106.4,256.0,362.4,15.4,110.1,196.9,307.1
3,New York Giants,2005,26.4,138.1,223.6,361.7,19.6,103.5,224.0,327.5
4,Denver Broncos,2005,24.7,158.7,201.7,360.4,16.1,85.2,227.7,312.9
5,Cincinnati Bengals,2005,26.3,119.4,238.8,358.1,21.9,115.6,223.1,338.7
6,New England Patriots,2005,23.7,94.5,257.5,352.0,21.1,98.8,231.4,330.2
7,Arizona Cardinals,2005,19.4,71.1,277.3,348.4,24.2,102.0,193.6,295.6
8,St. Louis Rams,2005,22.7,95.9,252.2,348.2,26.8,136.1,214.0,350.1
9,San Diego Chargers,2005,26.1,129.5,218.4,347.9,19.5,84.3,224.9,309.2
10,Washington Redskins,2005,22.4,136.4,194.1,330.6,18.3,105.4,192.6,297.9
11,Atlanta Falcons,2005,21.9,159.1,167.4,326.6,21.3,128.9,196.1,325.0
12,Dallas Cowboys,2005,20.3,116.3,208.8,325.1,19.2,108.2,192.7,300.9
13,Miami Dolphins,2005,19.9,118.6,206.2,324.9,19.8,110.7,206.7,317.4
14,Jacksonville Jaguars,2005,22.6,122.4,199.4,321.8,16.8,106.8,184.1,290.9
15,Pittsburgh Steelers,2005,24.3,138.9,182.9,321.8,16.1,86.0,198.0,284.0
16,Tennessee Titans,2005,18.7,95.3,224.8,320.1,26.3,118.4,201.0,319.4
17,Green Bay Packers,2005,18.6,84.5,235.4,319.9,21.5,125.6,167.5,293.1
18,Philadelphia Eagles,2005,19.4,89.5,229.8,319.3,24.2,117.7,207.7,325.4
19,New Orleans Saints,2005,14.7,105.5,208.9,314.4,24.9,134.1,178.1,312.1
20,Oakland Raiders,2005,18.1,85.6,223.9,309.4,23.9,128.1,202.7,330.8
21,Carolina Panthers,2005,24.4,104.9,204.4,309.4,16.2,91.6,191.1,282.6
22,Tampa Bay Buccaneers,2005,18.8,114.1,180.6,294.8,17.1,94.7,183.1,277.8
23,Baltimore Ravens,2005,16.6,100.3,193.0,293.3,18.7,99.4,184.9,284.3
24,Minnesota Vikings,2005,19.1,91.7,196.6,288.3,21.5,115.1,208.2,323.3
25,Cleveland Browns,2005,14.5,93.9,190.4,284.4,18.8,137.6,179.2,316.8
26,Detroit Lions,2005,15.9,91.9,178.0,269.9,21.6,127.5,194.9,322.4
27,Buffalo Bills,2005,16.9,100.4,157.2,257.6,22.9,137.8,205.7,343.5
28,Chicago Bears,2005,16.2,131.2,125.1,256.3,12.6,102.3,179.5,281.8
29,Houston Texans,2005,16.2,113.5,139.8,253.3,26.9,143.9,220.1,364.0
30,New York Jets,2005,15.0,83.0,165.1,248.1,22.2,136.6,172.2,308.8
31,San Francisco 49ers,2005,14.9,105.6,118.6,224.2,26.8,114.5,276.7,391.2
0,Kansas City Chiefs,2004,30.2,143.1,275.4,418.4,27.2,114.6,262.7,377.3
1,Indianapolis Colts,2004,32.6,115.8,288.9,404.7,21.9,127.3,243.2,370.6
2,Green Bay Packers,2004,26.5,119.2,278.1,397.3,23.8,117.4,228.9,346.3
3,Minnesota Vikings,2004,25.3,113.9,282.2,396.2,24.7,125.4,243.5,368.9
4,Denver Broncos,2004,23.8,145.8,249.9,395.8,19.0,94.5,184.2,278.7
5,St. Louis Rams,2004,19.9,101.5,265.8,367.3,24.5,136.2,198.4,334.6
6,New England Patriots,2004,27.3,133.4,224.2,357.6,16.2,98.2,212.5,310.8
7,Seattle Seahawks,2004,23.2,130.9,221.2,352.1,23.3,126.9,224.4,351.3
8,Philadelphia Eagles,2004,24.1,102.4,248.7,351.1,16.2,118.9,200.8,319.7
9,San Diego Chargers,2004,27.9,136.6,209.8,346.4,19.6,81.7,253.3,335.0
10,Tennessee Titans,2004,21.5,116.9,226.0,342.9,27.4,119.8,237.9,357.8
11,New York Jets,2004,20.8,149.2,190.6,339.9,16.3,97.9,207.0,304.9
12,Carolina Panthers,2004,22.2,98.9,227.7,326.6,21.2,119.0,217.4,336.4
13,Dallas Cowboys,2004,18.3,110.6,214.2,324.8,25.3,110.2,220.1,330.3
14,New Orleans Saints,2004,21.8,100.4,224.2,324.6,25.3,140.8,243.0,383.8
15,Pittsburgh Steelers,2004,23.2,154.0,170.0,324.0,15.7,81.2,177.2,258.4
16,Oakland Raiders,2004,20.0,80.9,241.1,322.1,27.6,125.8,245.2,371.0
17,Cincinnati Bengals,2004,23.4,114.9,206.3,321.2,23.2,128.9,206.4,335.3
18,Houston Texans,2004,19.3,117.6,202.9,320.5,21.2,115.2,225.9,341.1
19,Atlanta Falcons,2004,21.2,167.0,150.8,317.8,21.1,105.1,220.4,325.4
20,Jacksonville Jaguars,2004,16.3,115.6,197.4,313.1,17.5,111.1,209.8,320.9
21,Tampa Bay Buccaneers,2004,18.8,93.1,217.1,310.2,19.0,123.3,161.2,284.5
22,New York Giants,2004,18.9,119.0,176.1,295.1,21.7,134.8,189.4,324.2
23,Detroit Lions,2004,18.5,111.1,182.2,293.3,21.9,117.9,219.6,337.6
24,Buffalo Bills,2004,24.7,117.1,176.1,293.2,17.8,100.2,164.0,264.2
25,San Francisco 49ers,2004,16.2,90.6,196.0,286.6,28.2,124.7,217.9,342.6
26,Arizona Cardinals,2004,17.8,104.2,180.1,284.4,20.1,131.6,189.8,321.3
27,Cleveland Browns,2004,17.2,103.6,176.5,280.1,24.4,144.6,181.3,325.9
28,Miami Dolphins,2004,17.2,83.7,191.6,275.2,22.1,143.9,162.0,305.9
29,Washington Redskins,2004,15.0,110.3,164.5,274.8,16.6,81.5,186.1,267.6
30,Baltimore Ravens,2004,19.8,128.9,144.5,273.4,16.8,105.1,195.1,300.2
31,Chicago Bears,2004,14.4,101.5,137.0,238.5,20.7,128.1,208.8,336.9
0,Minnesota Vikings,2003,26.0,146.4,246.9,393.4,22.1,117.4,217.3,334.8
1,Kansas City Chiefs,2003,30.2,120.6,248.8,369.4,20.8,146.5,210.2,356.7
2,Indianapolis Colts,2003,27.9,105.9,261.2,367.1,21.0,123.8,175.6,299.3
3,Green Bay Packers,2003,27.6,159.9,202.5,362.4,19.2,106.3,212.5,318.8
4,San Francisco 49ers,2003,24.0,142.4,213.0,355.4,21.1,105.6,202.4,308.0
5,Seattle Seahawks,2003,25.2,125.6,226.1,351.7,20.4,109.9,217.5,327.4
6,Denver Broncos,2003,23.8,164.3,185.6,349.9,18.8,100.3,176.8,277.1
7,Tennessee Titans,2003,27.2,101.4,242.4,343.8,20.2,80.9,225.4,306.3
8,St. Louis Rams,2003,27.9,93.5,247.6,341.1,20.5,123.8,192.0,315.8
9,Tampa Bay Buccaneers,2003,18.8,103.0,237.8,340.8,16.5,109.8,169.4,279.1
10,New Orleans Saints,2003,21.2,125.0,214.9,339.9,20.4,140.1,187.1,327.1
11,Jacksonville Jaguars,2003,17.2,129.6,205.3,334.9,20.7,87.9,203.2,291.1
12,Cincinnati Bengals,2003,21.6,124.2,208.9,333.1,24.0,138.6,212.6,351.2
13,San Diego Chargers,2003,19.6,134.1,188.8,322.9,27.6,138.6,210.9,349.6
14,Dallas Cowboys,2003,18.1,124.9,197.6,322.6,16.2,89.1,164.4,253.5
15,Carolina Panthers,2003,20.3,130.7,190.6,321.3,19.0,107.6,187.7,295.3
16,New England Patriots,2003,21.8,100.4,214.5,314.9,14.9,89.6,202.0,291.6
17,Philadelphia Eagles,2003,23.4,125.9,188.8,314.7,17.9,129.4,202.2,331.7
18,New York Jets,2003,17.7,102.2,207.2,309.4,18.7,143.4,189.1,332.4
19,New York Giants,2003,15.2,97.4,211.4,308.9,24.2,119.2,213.2,332.5
20,Baltimore Ravens,2003,24.4,167.1,140.9,308.1,17.6,96.0,175.3,271.3
21,Pittsburgh Steelers,2003,18.8,93.0,206.5,299.5,20.4,108.8,190.1,298.9
22,Washington Redskins,2003,17.9,103.3,187.9,291.2,23.2,138.6,199.7,338.2
23,Miami Dolphins,2003,19.4,113.6,174.5,288.1,16.3,90.8,208.4,299.2
24,Oakland Raiders,2003,16.9,113.9,171.9,285.8,23.7,156.9,212.1,369.0
25,Cleveland Browns,2003,15.9,104.4,177.1,281.5,20.1,132.1,177.9,309.9
26,Arizona Cardinals,2003,14.1,95.7,184.9,280.6,28.2,119.7,224.3,344.0
27,Chicago Bears,2003,17.7,110.2,163.6,273.8,21.6,116.6,192.6,309.2
28,Atlanta Falcons,2003,18.7,121.8,150.5,272.3,26.4,144.2,237.5,381.8
29,Buffalo Bills,2003,15.2,104.0,167.8,271.8,17.4,100.4,169.2,269.6
30,Houston Texans,2003,15.9,103.2,165.9,269.1,23.8,148.1,232.0,380.1
31,Detroit Lions,2003,16.9,83.6,182.8,266.4,23.7,111.4,223.6,335.0
0,Oakland Raiders,2002,28.1,110.1,279.7,389.8,19.0,90.8,220.4,311.2
1,Minnesota Vikings,2002,24.4,156.7,230.3,387.0,27.6,104.1,256.4,360.6
2,Denver Broncos,2002,24.5,141.6,239.0,380.6,21.5,93.1,208.6,301.6
3,Kansas City Chiefs,2002,29.2,148.6,226.4,375.0,24.9,129.2,261.3,390.5
4,Pittsburgh Steelers,2002,24.4,132.5,239.5,372.0,21.6,85.9,216.2,302.2
5,New York Giants,2002,20.0,117.2,246.9,364.1,17.4,114.4,194.9,309.3
6,Seattle Seahawks,2002,22.2,108.8,254.9,363.6,23.1,152.6,213.2,365.8
7,San Francisco 49ers,2002,22.9,140.2,216.1,356.3,21.9,103.2,219.1,322.4
8,Indianapolis Colts,2002,21.8,97.6,253.4,351.0,19.6,124.5,182.3,306.8
9,Philadelphia Eagles,2002,25.9,138.8,211.5,350.2,15.1,103.8,193.4,297.1
10,Buffalo Bills,2002,23.7,99.8,249.7,349.4,24.8,132.6,191.7,324.3
11,Green Bay Packers,2002,24.9,120.8,226.7,347.5,20.5,124.9,186.7,311.6
12,St. Louis Rams,2002,19.8,87.8,259.6,347.4,23.1,113.5,200.6,314.1
13,Atlanta Falcons,2002,25.1,148.0,197.9,345.9,19.6,127.9,205.4,333.4
14,Miami Dolphins,2002,23.6,156.4,180.6,337.0,18.8,97.1,193.9,291.0
15,San Diego Chargers,2002,20.8,133.6,199.2,332.8,22.9,108.7,268.4,377.1
16,Tennessee Titans,2002,22.9,122.0,207.5,329.5,20.2,89.0,221.2,310.2
17,Cincinnati Bengals,2002,17.4,108.1,217.2,325.4,28.5,125.2,203.9,329.1
18,New Orleans Saints,2002,27.0,110.2,215.1,325.3,24.2,124.4,237.8,362.2
19,Washington Redskins,2002,19.2,118.1,203.4,321.4,22.8,109.6,189.6,299.2
20,New England Patriots,2002,23.8,94.2,223.6,317.8,21.6,137.4,198.7,336.1
21,New York Jets,2002,22.4,101.1,213.6,314.8,21.0,123.3,218.1,341.4
22,Cleveland Browns,2002,21.5,100.9,213.2,314.2,20.0,129.9,204.3,334.2
23,Tampa Bay Buccaneers,2002,21.6,97.3,215.3,312.6,12.2,97.1,155.6,252.8
24,Jacksonville Jaguars,2002,20.5,130.6,172.6,303.2,19.7,129.4,204.0,333.4
25,Baltimore Ravens,2002,19.8,112.0,177.9,289.9,22.1,110.1,224.4,334.6
26,Arizona Cardinals,2002,16.4,113.9,171.2,285.2,26.1,134.1,242.1,376.2
27,Detroit Lions,2002,19.1,92.3,187.1,279.4,28.2,122.9,259.4,382.3
28,Chicago Bears,2002,17.6,84.0,190.7,274.7,23.7,129.8,220.6,350.4
29,Dallas Cowboys,2002,13.6,109.6,163.8,273.4,20.6,113.6,215.6,329.2
30,Carolina Panthers,2002,16.1,99.1,168.4,267.5,18.9,103.3,187.1,290.4
31,Houston Texans,2002,13.3,84.2,139.1,223.2,22.2,130.6,196.3,326.9
0,St. Louis Rams,2001,31.4,126.7,291.4,418.1,17.1,85.9,193.6,279.4
1,Indianapolis Colts,2001,25.8,122.9,249.3,372.2,30.4,132.2,225.0,357.2
2,Pittsburgh Steelers,2001,22.0,173.4,194.6,367.9,13.2,74.7,183.9,258.6
3,San Francisco 49ers,2001,25.6,140.2,215.3,355.6,17.6,98.2,211.4,309.6
4,Kansas City Chiefs,2001,20.0,125.5,229.1,354.6,21.5,133.8,197.8,331.5
5,Green Bay Packers,2001,24.4,105.8,235.6,341.4,16.6,110.6,198.0,308.6
6,Oakland Raiders,2001,24.9,103.4,231.7,335.1,20.4,124.2,192.7,316.9
7,Tennessee Titans,2001,21.0,112.1,222.4,334.5,24.2,89.4,255.2,344.7
8,New York Giants,2001,18.4,111.1,222.4,333.4,20.1,96.6,214.4,310.9
9,New Orleans Saints,2001,20.8,107.0,219.6,326.6,25.6,107.2,209.7,316.9
10,San Diego Chargers,2001,20.8,105.9,219.1,325.0,20.1,94.0,212.5,306.5
11,Minnesota Vikings,2001,18.1,100.6,223.5,324.1,24.4,143.7,210.4,354.1
12,Buffalo Bills,2001,16.6,105.4,215.7,321.1,26.2,133.3,197.4,330.8
13,Baltimore Ravens,2001,18.9,113.1,207.1,320.2,16.6,88.2,189.7,277.9
14,Atlanta Falcons,2001,18.2,110.1,206.8,316.9,23.6,121.4,243.9,365.3
15,Detroit Lions,2001,16.9,87.4,224.8,312.1,26.5,124.6,220.5,345.1
16,Philadelphia Eagles,2001,21.4,111.1,196.6,307.7,13.0,114.8,179.0,293.8
17,Arizona Cardinals,2001,18.4,90.6,215.6,306.1,21.4,130.4,224.9,355.3
18,New England Patriots,2001,23.2,112.1,193.1,305.1,17.0,115.9,218.6,334.5
19,Jacksonville Jaguars,2001,18.4,100.0,202.5,302.5,17.9,100.7,216.2,316.9
20,Miami Dolphins,2001,21.5,104.0,197.3,301.3,18.1,111.2,176.8,288.0
21,Denver Broncos,2001,21.2,117.3,183.8,301.1,21.2,93.2,205.1,298.4
22,Cincinnati Bengals,2001,14.1,107.0,193.0,300.0,19.3,104.7,197.3,302.0
23,New York Jets,2001,19.2,128.4,171.3,299.7,18.4,134.6,187.4,322.1
24,Seattle Seahawks,2001,18.8,121.0,177.2,298.2,20.2,107.6,217.8,325.4
25,Chicago Bears,2001,21.1,108.9,184.5,293.4,12.7,82.1,229.1,311.1
26,Tampa Bay Buccaneers,2001,20.2,85.7,207.7,293.4,17.5,106.4,184.4,290.8
27,Washington Redskins,2001,16.0,121.8,155.4,277.2,18.9,116.8,186.1,302.9
28,Dallas Cowboys,2001,15.4,136.5,138.6,275.1,21.1,106.9,180.6,287.4
29,Carolina Panthers,2001,15.8,85.8,180.1,265.9,25.6,143.8,227.6,371.4
30,Cleveland Browns,2001,17.8,84.4,175.1,259.5,19.9,138.0,193.1,331.1
0,St. Louis Rams,2000,33.8,115.2,327.0,442.2,29.4,106.1,237.3,343.4
1,Denver Broncos,2000,30.3,144.4,265.2,409.6,23.1,99.9,246.6,346.5
2,Indianapolis Colts,2000,26.8,116.2,267.6,383.8,20.4,120.9,213.9,334.8
3,San Francisco 49ers,2000,24.2,112.6,264.9,377.5,26.4,112.1,244.7,356.8
4,Minnesota Vikings,2000,24.8,133.1,239.5,372.6,23.2,111.8,244.6,356.3
5,Oakland Raiders,2000,29.9,154.4,206.6,361.0,18.7,96.9,231.1,328.1
6,Jacksonville Jaguars,2000,22.9,127.0,228.6,355.6,20.4,105.3,197.5,302.8
7,Kansas City Chiefs,2000,22.2,91.6,259.3,350.9,22.1,113.1,216.9,330.0
8,Buffalo Bills,2000,19.7,120.1,223.5,343.6,21.9,97.4,179.2,276.6
9,New Orleans Saints,2000,22.1,129.2,208.1,337.3,19.1,104.5,191.9,296.4
10,Washington Redskins,2000,17.6,109.2,228.0,337.2,16.8,115.8,163.8,279.6
11,New York Jets,2000,20.1,91.9,245.2,337.2,20.1,118.0,183.2,301.2
12,New York Giants,2000,20.5,125.6,210.4,336.0,15.4,72.2,211.9,284.1
13,Tennessee Titans,2000,21.6,130.2,204.1,334.4,11.9,86.9,151.4,238.3
14,Green Bay Packers,2000,22.1,102.7,229.9,332.6,20.2,101.1,215.7,316.8
15,Baltimore Ravens,2000,20.8,137.4,175.9,313.4,10.3,60.6,187.3,247.9
16,Philadelphia Eagles,2000,21.9,117.6,195.2,312.9,15.3,114.4,186.9,301.2
17,Pittsburgh Steelers,2000,20.1,140.5,157.4,297.9,15.9,105.8,188.8,294.6
18,Seattle Seahawks,2000,20.0,107.5,185.0,292.5,25.3,153.4,246.1,399.4
19,Carolina Panthers,2000,19.4,74.1,216.8,290.9,19.4,121.5,232.0,353.5
20,Tampa Bay Buccaneers,2000,24.2,129.1,161.4,290.6,16.8,103.0,197.0,300.0
21,New England Patriots,2000,17.2,86.9,198.8,285.7,21.1,114.4,220.1,334.6
22,Chicago Bears,2000,13.5,108.5,175.3,283.8,22.2,114.2,212.9,327.1
23,Arizona Cardinals,2000,13.1,79.9,203.1,283.0,27.7,163.1,195.5,358.6
24,Dallas Cowboys,2000,18.4,122.1,157.6,279.7,22.6,164.8,168.3,333.1
25,Miami Dolphins,2000,20.2,118.4,160.4,278.8,14.1,108.5,181.2,289.8
26,Detroit Lions,2000,19.2,109.2,167.2,276.4,19.2,113.9,200.6,314.6
27,San Diego Chargers,2000,16.8,66.4,202.4,268.8,27.5,88.9,221.1,309.9
28,Cincinnati Bengals,2000,11.6,144.6,121.6,266.2,22.4,120.3,222.6,342.9
29,Atlanta Falcons,2000,15.8,75.9,173.8,249.6,25.8,123.9,226.5,350.4
30,Cleveland Browns,2000,10.1,67.8,152.8,220.6,26.2,156.6,196.1,352.7
